date,year,site,region,measure,data_value,unit,statistic,dataset
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2102.1,umol/kg-1,Value,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,pH,8.0795,NA,Value,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3276e-09,mol/kg-1,Value,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,361.9,uatm,Value,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.7,Degrees Celsius,Mean,Munida
2000-08-02,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.044,NA,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.300,NA,Mean,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2274.3,umol/kg-1,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2088.8,umol/kg-1,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,pH,8.0785,NA,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3455e-09,mol/kg-1,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,360.9,uatm,Value,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,9.0,Degrees Celsius,Mean,Munida
2000-09-25,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.046,NA,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.264,NA,Mean,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2279.8,umol/kg-1,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2096.6,umol/kg-1,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,pH,8.0853,NA,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.2161e-09,mol/kg-1,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,354.9,uatm,Value,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,8.2,Degrees Celsius,Mean,Munida
2000-10-08,2000,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.021,NA,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Salinity,34.295,NA,Mean,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Total alkalinity,2283.2,umol/kg-1,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2086.4,umol/kg-1,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,pH,8.0775,NA,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.3658e-09,mol/kg-1,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,364.3,uatm,Value,Munida
2000-12-04,2000,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.6,Degrees Celsius,Mean,Munida
